id,ACR_MD,ACR-L_MD,ACR-R_MD,ALIC_MD,ALIC-L_MD,ALIC-R_MD,AverageFA_MD,BCC_MD,CC_MD,CGC_MD,CGC-L_MD,CGC-R_MD,CGH_MD,CGH-L_MD,CGH-R_MD,CR_MD,CR-L_MD,CR-R_MD,CST_MD,CST-L_MD,CST-R_MD,EC_MD,EC-L_MD,EC-R_MD,FX_MD,FX/ST-L_MD,FX/ST-R_MD,FXST_MD,GCC_MD,IC_MD,IC-L_MD,IC-R_MD,IFO_MD,IFO-L_MD,IFO-R_MD,PCR_MD,PCR-L_MD,PCR-R_MD,PLIC_MD,PLIC-L_MD,PLIC-R_MD,PTR_MD,PTR-L_MD,PTR-R_MD,RLIC_MD,RLIC-L_MD,RLIC-R_MD,SCC_MD,SCR_MD,SCR-L_MD,SCR-R_MD,SFO_MD,SFO-L_MD,SFO-R_MD,SLF_MD,SLF-L_MD,SLF-R_MD,SS_MD,SS-L_MD,SS-R_MD,UNC_MD,UNC-L_MD,UNC-R_MD
SPN01_CMH_0012_01,0.000888459,0.000904281,0.000872546,0.000924454,0.0009001,0.000946592,0.0013113,0.00185232,0.00195196,0.000968114,0.000953125,0.000984147,0.00282315,0.00311745,0.0025266,0.00099708,0.000980865,0.00101274,0.00199854,0.00211692,0.00187176,0.00104163,0.00106059,0.00102275,0.00265369,0.00146061,0.00127777,0.00138033,0.00151361,0.00101457,0.000991326,0.00103663,0.00125023,0.00128718,0.00121943,0.00148625,0.0014506,0.001518,0.000896028,0.000917141,0.000875128,0.00160523,0.00164444,0.00156722,0.00124618,0.0011719,0.00131622,0.00243664,0.000866389,0.0008356,0.000896004,0.0010824,0.00106657,0.00109774,0.000943005,0.000963658,0.000922784,0.00119028,0.00132678,0.00105335,0.00283646,0.00294985,0.00275831
SPN01_MRC_0027_01,0.000886133,0.00092626,0.000845774,0.000798112,0.000820269,0.000777971,0.00118642,0.00152907,0.00170461,0.000830588,0.000874337,0.000783791,0.00210184,0.00216902,0.00203414,0.000935718,0.000938154,0.000933366,0.00110238,0.00108949,0.00111628,0.00108103,0.00109758,0.00106454,0.00230742,0.0012639,0.00119071,0.00123176,0.00151868,0.00093194,0.000937833,0.000926347,0.00124717,0.00122918,0.00126217,0.0013575,0.00132434,0.00138704,0.000774337,0.000777778,0.000770931,0.00178643,0.00173827,0.00183312,0.00125402,0.00124893,0.00125881,0.00209318,0.000773389,0.000759896,0.000786367,0.000715461,0.000699309,0.000731119,0.000901396,0.000927054,0.000876274,0.00125983,0.00128573,0.00123384,0.00252441,0.00241635,0.00259888
SPN01_CMH_0027_01,0.00106992,0.0011302,0.00100929,0.00139573,0.00152608,0.00127724,0.00139181,0.00208253,0.00218809,0.000964508,0.000963767,0.0009653,0.00323444,0.00340904,0.00305851,0.00113442,0.00113444,0.0011344,0.00199884,0.00203914,0.00195567,0.00123503,0.00121716,0.00125282,0.0030032,0.00167069,0.00160084,0.00164002,0.00188861,0.0013288,0.00137103,0.00128872,0.0013052,0.00132797,0.00128623,0.0015789,0.00152797,0.00162426,0.000957451,0.000971346,0.000943696,0.00218166,0.00222374,0.00214087,0.00170184,0.00170358,0.00170019,0.00257068,0.00097715,0.000943714,0.00100931,0.0015442,0.00174279,0.00135168,0.000967143,0.000960726,0.000973426,0.00149583,0.00166145,0.00132969,0.00307734,0.00311706,0.00304996
SPN01_MRC_P003_01,0.00111147,0.00120731,0.00101507,0.00184148,0.00223438,0.00148434,0.00144861,0.00206907,0.00208994,0.000966922,0.00104842,0.000879745,0.00221661,0.00223223,0.00220088,0.00112295,0.00114257,0.001104,0.00108929,0.000861972,0.00130839,0.00121677,0.00126054,0.00117319,0.00268696,0.00155801,0.00142499,0.0014996,0.00211909,0.00137705,0.00149766,0.00126258,0.00136275,0.00143502,0.00130252,0.00142285,0.00140532,0.00143846,0.000848414,0.000867961,0.000829064,0.00161776,0.0017035,0.00153466,0.0015355,0.00153392,0.00153699,0.00209547,0.000980759,0.000937395,0.00102247,0.00206094,0.00234348,0.00178704,0.00103571,0.00103201,0.00103934,0.00152136,0.00161708,0.00142535,0.00259499,0.00261778,0.00257928
SPN01_MRC_0028_01,0.000970232,0.000994649,0.000945674,0.0013047,0.0013781,0.00123799,0.0012634,0.00167682,0.00184389,0.000869684,0.000872944,0.000866196,0.00166901,0.0017084,0.00162932,0.000995408,0.00100236,0.000988692,0.00082968,0.000809551,0.000853178,0.00105575,0.00100228,0.001109,0.00255065,0.00128682,0.00112097,0.001214,0.00181634,0.00114217,0.00119403,0.00109294,0.0010146,0.000949466,0.00106888,0.00134792,0.00134521,0.00135033,0.000830213,0.000873909,0.000786957,0.00154374,0.00176545,0.00132885,0.00134823,0.00140109,0.0012984,0.00209515,0.000841419,0.00084083,0.000841986,0.00107074,0.00117842,0.000966352,0.00098397,0.000992188,0.000975923,0.00121368,0.00131861,0.00110842,0.00239461,0.00234744,0.00242712
SPN01_MRC_0024_01,0.000950069,0.00103813,0.000861499,0.00098386,0.00109283,0.000884808,0.00124687,0.0018,0.00183656,0.000931975,0.000930327,0.000933737,0.00200856,0.00205241,0.00196437,0.000988516,0.0010363,0.000942372,0.000919075,0.000866625,0.000975997,0.001063,0.00109413,0.001032,0.00246843,0.00123988,0.00118534,0.00121593,0.00164606,0.00104544,0.00113621,0.000959309,0.00144477,0.00146662,0.00142656,0.00134418,0.00135023,0.00133879,0.000843661,0.000886572,0.000801183,0.001636,0.00199132,0.0012916,0.00134702,0.00148278,0.00121902,0.00203795,0.000847845,0.000878142,0.000818703,0.0011623,0.0015411,0.000795094,0.000955496,0.000988649,0.000923035,0.0012308,0.00137742,0.00108373,0.00239243,0.00246336,0.00234355
SPN01_MRC_0023_01,0.000892528,0.00093607,0.000848734,0.000833764,0.000825039,0.000841695,0.00115319,0.00138031,0.00155172,0.000891727,0.000910212,0.000871954,0.00192764,0.0019543,0.00190078,0.00089894,0.00090833,0.000889871,0.000834056,0.000838842,0.000828931,0.00101566,0.000998057,0.00103319,0.00221858,0.00116267,0.00101025,0.00109574,0.00141043,0.00088096,0.00088208,0.000879898,0.00121006,0.00112118,0.00128413,0.00123283,0.00118436,0.001276,0.000718806,0.000734817,0.000702956,0.00113246,0.00118089,0.00108551,0.00112099,0.00111768,0.00112412,0.0018992,0.000733449,0.000739169,0.000727948,0.000702842,0.000719359,0.00068683,0.000901583,0.000948784,0.000855369,0.00124909,0.00144174,0.00105584,0.0022102,0.00228392,0.0021594
SPN01_MRC_0025_01,0.00117216,0.00117273,0.00117158,0.0016564,0.00155976,0.00174425,0.00133821,0.00216726,0.00216879,0.000872848,0.000877714,0.000867642,0.00205766,0.00206699,0.00204825,0.00115587,0.00113342,0.00117755,0.00104371,0.000981535,0.00110841,0.00105281,0.00104083,0.00106475,0.00248795,0.00135726,0.00132359,0.00134248,0.00218343,0.00134478,0.00131302,0.00137491,0.00126808,0.001216,0.00131148,0.00138089,0.00139127,0.00137165,0.000845132,0.000866122,0.000824354,0.00208807,0.00220343,0.00197625,0.00162307,0.00161221,0.0016333,0.00215927,0.00102112,0.000959966,0.00107994,0.00211207,0.0022624,0.00196635,0.000952925,0.000961484,0.000944544,0.0013939,0.00148399,0.00130354,0.0025038,0.00241852,0.00256257
SPN01_ZHH_0025_01,0.00148007,0.00144949,0.00151082,0.00281958,0.00281445,0.00282425,0.0016383,0.00250304,0.00257969,0.000967134,0.000997682,0.000934457,0.00272299,0.00277301,0.00267259,0.00139642,0.00134502,0.00144606,0.00114424,0.00106985,0.0012239,0.00130755,0.00135418,0.00126112,0.00328839,0.00163548,0.00177918,0.00169858,0.00274912,0.00184751,0.00180955,0.00188353,0.00167076,0.00153551,0.00178347,0.0015622,0.00151468,0.00160453,0.000994559,0.00100027,0.000988905,0.00223452,0.00220136,0.00226666,0.00187835,0.00179862,0.00195352,0.00255047,0.00121645,0.00114035,0.00128965,0.00295776,0.00310291,0.00281706,0.00113034,0.00117608,0.00108555,0.00186461,0.00190234,0.00182676,0.00297582,0.00292419,0.0030114
SPN01_MRC_0029_01,0.0011735,0.00116619,0.00118085,0.00200742,0.00200397,0.00201056,0.00143266,0.00208305,0.00216005,0.00106842,0.00108083,0.00105515,0.00231146,0.00228932,0.00233376,0.00118902,0.0011681,0.00120923,0.000772397,0.000743946,0.000801514,0.00137513,0.0013432,0.00140692,0.00268101,0.00162018,0.00153833,0.00158424,0.00214874,0.00154935,0.0015508,0.00154797,0.00163086,0.00152145,0.00172204,0.00143166,0.00141736,0.0014444,0.000925591,0.00093249,0.000918762,0.00179963,0.00185236,0.00174852,0.00182709,0.00185403,0.00180168,0.00227474,0.001081,0.00104641,0.00111427,0.00241615,0.00257486,0.00226229,0.00111003,0.00109707,0.00112272,0.00158409,0.00168373,0.00148414,0.00263494,0.0026847,0.00260065
