id,ACR_MD,ACR-L_MD,ACR-R_MD,ALIC_MD,ALIC-L_MD,ALIC-R_MD,AverageFA_MD,BCC_MD,CC_MD,CGC_MD,CGC-L_MD,CGC-R_MD,CGH_MD,CGH-L_MD,CGH-R_MD,CR_MD,CR-L_MD,CR-R_MD,CST_MD,CST-L_MD,CST-R_MD,EC_MD,EC-L_MD,EC-R_MD,FX_MD,FX/ST-L_MD,FX/ST-R_MD,FXST_MD,GCC_MD,IC_MD,IC-L_MD,IC-R_MD,IFO_MD,IFO-L_MD,IFO-R_MD,PCR_MD,PCR-L_MD,PCR-R_MD,PLIC_MD,PLIC-L_MD,PLIC-R_MD,PTR_MD,PTR-L_MD,PTR-R_MD,RLIC_MD,RLIC-L_MD,RLIC-R_MD,SCC_MD,SCR_MD,SCR-L_MD,SCR-R_MD,SFO_MD,SFO-L_MD,SFO-R_MD,SLF_MD,SLF-L_MD,SLF-R_MD,SS_MD,SS-L_MD,SS-R_MD,UNC_MD,UNC-L_MD,UNC-R_MD
SPN01_ZHH_0032_01,0.001044,0.00108937,0.000998372,0.00104382,0.00102615,0.00105988,0.00135047,0.00203331,0.00213299,0.000951756,0.00095063,0.000952961,0.00284156,0.00286774,0.00281518,0.00108166,0.00108822,0.00107533,0.00188969,0.00199974,0.00177182,0.00123476,0.00122256,0.00124691,0.00285044,0.00134859,0.00130158,0.00132795,0.00185843,0.00110211,0.00109754,0.00110644,0.001436,0.00134591,0.00151107,0.00151428,0.00148007,0.00154476,0.000906293,0.000937851,0.000875054,0.00162407,0.00172242,0.00152875,0.00139327,0.00136247,0.00142231,0.00248775,0.000900298,0.000892123,0.000908162,0.00103927,0.00107983,0.000999953,0.000924605,0.000933839,0.000915565,0.00126985,0.00129104,0.00124859,0.0027912,0.00273484,0.00283005
SPN01_CMH_0024_01,0.00110422,0.00120948,0.000998345,0.00157427,0.00193964,0.00124216,0.00143319,0.00213433,0.00223382,0.000956347,0.00100526,0.000904025,0.00284297,0.0029197,0.00276565,0.00113969,0.00117504,0.00110554,0.00187367,0.00178502,0.00196861,0.00114707,0.00118965,0.00110467,0.00299274,0.00158987,0.00151026,0.00155491,0.00210146,0.00135386,0.00150753,0.00120802,0.00147345,0.00144167,0.00149993,0.00151419,0.0014937,0.00153244,0.000969181,0.0010119,0.000926892,0.00199247,0.00237306,0.00162357,0.00158781,0.0016824,0.00149862,0.00247547,0.000985916,0.000976977,0.000994515,0.0021734,0.002646,0.00171526,0.00102086,0.001081,0.000961974,0.00156069,0.00180181,0.00131883,0.00269652,0.00314413,0.00238803
SPN01_CMH_0007_01,0.00109653,0.00116424,0.00102843,0.00140214,0.00163023,0.00119481,0.00131254,0.0021655,0.0022211,0.000944316,0.00098758,0.000898038,0.00288112,0.00282453,0.00293815,0.00111214,0.0011333,0.00109171,0.00151122,0.00166114,0.00135066,0.00100313,0.00102399,0.000982366,0.00297097,0.00152767,0.00152633,0.00152708,0.00199436,0.001283,0.00143024,0.00114327,0.00126839,0.00127448,0.00126332,0.00147993,0.00142865,0.00152561,0.000922577,0.000956014,0.000889478,0.00190407,0.00227825,0.00154138,0.0015904,0.00180896,0.00138432,0.00247737,0.000939478,0.000950837,0.000928553,0.00188516,0.00238297,0.00140259,0.00090618,0.00093763,0.000875387,0.00150748,0.00161414,0.00140049,0.00309006,0.00315803,0.00304322
SPN01_ZHH_0029_01,0.00102037,0.00113599,0.000904073,0.00106214,0.00119935,0.000937424,0.0014818,0.00208017,0.00211591,0.00104785,0.00113601,0.000953539,0.00317895,0.00331485,0.00304201,0.00109028,0.0011444,0.00103802,0.00212911,0.00200051,0.00226683,0.00109206,0.00106935,0.00111468,0.00338045,0.00144591,0.00156166,0.00149674,0.00170196,0.00111449,0.00115072,0.00108011,0.00149608,0.00153464,0.00146395,0.00154101,0.00154141,0.00154066,0.000940675,0.000974455,0.000907235,0.00159171,0.00178105,0.00140818,0.00137356,0.00131693,0.00142695,0.0024935,0.000935874,0.000956744,0.0009158,0.00129134,0.00156776,0.00102338,0.00106026,0.00108686,0.00103422,0.00114948,0.00127405,0.00102452,0.00307884,0.00328238,0.00293856
SPN01_ZHH_0028_01,0.00117136,0.00112021,0.0012228,0.00106444,0.00093196,0.00118487,0.00127479,0.00180957,0.0020199,0.000884013,0.00090143,0.000865383,0.00264434,0.00261134,0.0026776,0.00108935,0.00104106,0.00113599,0.00118674,0.00107878,0.00130236,0.0010548,0.00106628,0.00104337,0.00271367,0.00140601,0.00135956,0.00138561,0.00203872,0.00109522,0.00100745,0.00117852,0.00103159,0.00111856,0.000959118,0.00140352,0.00133755,0.00146228,0.000817786,0.000801118,0.000834285,0.00164931,0.00169469,0.00160533,0.00145546,0.00133317,0.00157077,0.00229374,0.000834463,0.000802494,0.000865212,0.000892882,0.000865138,0.000919776,0.000876829,0.000889178,0.000864738,0.00125277,0.00131109,0.00119427,0.0027361,0.00276254,0.00271787
SPN01_MRC_0021_01,0.00121516,0.00122415,0.00120612,0.0020965,0.0021534,0.00204478,0.00132594,0.0020384,0.00213604,0.000958886,0.000995773,0.000919428,0.00214409,0.0022265,0.00206104,0.00114336,0.00113002,0.00115624,0.00101178,0.00101283,0.00101066,0.00110388,0.00106444,0.00114316,0.00256866,0.00133456,0.00128916,0.00131463,0.00221499,0.00142401,0.00145074,0.00139864,0.0013077,0.00117896,0.00141499,0.00137439,0.00136582,0.00138203,0.000854584,0.000869652,0.000839667,0.00181474,0.00185248,0.00177816,0.00142085,0.0014616,0.00138242,0.00220743,0.000942971,0.000904371,0.000980098,0.00224464,0.00252304,0.00197477,0.000985587,0.000957416,0.00101317,0.00136319,0.00148515,0.00124085,0.00259969,0.00260173,0.00259828
SPN01_MRC_0027_01,0.000886695,0.000927689,0.000845464,0.000799151,0.00082235,0.000778063,0.00118663,0.00152895,0.00170416,0.000828452,0.000870952,0.000782991,0.0020978,0.0021659,0.00202918,0.000935634,0.00093849,0.000932876,0.00114392,0.00112743,0.00116159,0.00107651,0.00108923,0.00106385,0.00230718,0.00126812,0.00118949,0.00123359,0.00151919,0.000933138,0.00093932,0.000927271,0.0012455,0.00123707,0.00125253,0.00135697,0.00132381,0.00138651,0.000774337,0.00077817,0.000770543,0.00178947,0.00173982,0.00183759,0.0012568,0.00125116,0.00126211,0.0020915,0.000772809,0.000759405,0.000785702,0.000715724,0.000700188,0.000730784,0.000898278,0.000922502,0.000874561,0.00125366,0.0012844,0.00122283,0.00252558,0.00241509,0.00260173
SPN01_CMH_0012_01,0.000888459,0.000904281,0.000872546,0.000924454,0.0009001,0.000946592,0.0013113,0.00185232,0.00195196,0.000968114,0.000953125,0.000984147,0.00282315,0.00311745,0.0025266,0.00099708,0.000980865,0.00101274,0.00199854,0.00211692,0.00187176,0.00104163,0.00106059,0.00102275,0.00265369,0.00146061,0.00127777,0.00138033,0.00151361,0.00101457,0.000991326,0.00103663,0.00125023,0.00128718,0.00121943,0.00148625,0.0014506,0.001518,0.000896028,0.000917141,0.000875128,0.00160523,0.00164444,0.00156722,0.00124618,0.0011719,0.00131622,0.00243664,0.000866389,0.0008356,0.000896004,0.0010824,0.00106657,0.00109774,0.000943005,0.000963658,0.000922784,0.00119028,0.00132678,0.00105335,0.00283646,0.00294985,0.00275831
SPN01_CMH_0034_01,0.001022,0.00104016,0.00100374,0.00112973,0.00121404,0.00105309,0.00136121,0.00187571,0.00202104,0.000958268,0.000979045,0.000936043,0.00350609,0.00360791,0.00340348,0.00104955,0.00106354,0.00103604,0.00181262,0.00179901,0.0018272,0.00116566,0.00116663,0.00116469,0.00270933,0.00145578,0.00138509,0.00142474,0.00183311,0.00111721,0.00116363,0.00107315,0.00148632,0.00138363,0.0015719,0.0014165,0.00141026,0.00142206,0.000884535,0.000928308,0.000841203,0.00165198,0.00182078,0.00148836,0.00138063,0.00139991,0.00136246,0.00236973,0.00089077,0.000918144,0.000864439,0.0012345,0.0015655,0.000913637,0.00098394,0.00101833,0.000950268,0.00128154,0.00133554,0.00122738,0.00270653,0.00294282,0.00254369
SPN01_CMH_0005_01,0.000997072,0.00105632,0.000937482,0.000907992,0.00092851,0.000889341,0.0013326,0.00158779,0.00191852,0.000946556,0.000948268,0.000944724,0.00307696,0.00336191,0.00278982,0.00102915,0.0010316,0.00102679,0.00153452,0.00148802,0.00158432,0.00107,0.00105623,0.00108371,0.00291651,0.0015011,0.00133307,0.00142732,0.00163585,0.0011083,0.00112504,0.0010924,0.00138294,0.00120951,0.00152746,0.00150989,0.00141764,0.00159206,0.000890051,0.00090456,0.000875688,0.00174956,0.00188647,0.00161686,0.00156942,0.00158785,0.00155205,0.00259695,0.000816615,0.00081124,0.000821786,0.000731159,0.000730709,0.000731595,0.000991691,0.00100649,0.000977202,0.00124938,0.00132281,0.00117572,0.00306985,0.00305017,0.00308341
