id,ACR_FA,ACR-L_FA,ACR-R_FA,ALIC_FA,ALIC-L_FA,ALIC-R_FA,AverageFA_FA,BCC_FA,CC_FA,CGC_FA,CGC-L_FA,CGC-R_FA,CGH_FA,CGH-L_FA,CGH-R_FA,CR_FA,CR-L_FA,CR-R_FA,CST_FA,CST-L_FA,CST-R_FA,EC_FA,EC-L_FA,EC-R_FA,FX_FA,FX/ST-L_FA,FX/ST-R_FA,FXST_FA,GCC_FA,IC_FA,IC-L_FA,IC-R_FA,IFO_FA,IFO-L_FA,IFO-R_FA,PCR_FA,PCR-L_FA,PCR-R_FA,PLIC_FA,PLIC-L_FA,PLIC-R_FA,PTR_FA,PTR-L_FA,PTR-R_FA,RLIC_FA,RLIC-L_FA,RLIC-R_FA,SCC_FA,SCR_FA,SCR-L_FA,SCR-R_FA,SFO_FA,SFO-L_FA,SFO-R_FA,SLF_FA,SLF-L_FA,SLF-R_FA,SS_FA,SS-L_FA,SS-R_FA,UNC_FA,UNC-L_FA,UNC-R_FA
SPN01_CMH_0009_01,0.414327,0.426657,0.401925,0.541299,0.552298,0.531301,0.410534,0.644374,0.669529,0.562258,0.579138,0.544202,0.507018,0.497424,0.516685,0.438545,0.441825,0.435378,0.497663,0.506699,0.487986,0.426074,0.431847,0.420325,0.481759,0.519903,0.529557,0.524142,0.62563,0.595212,0.605882,0.585086,0.471207,0.483901,0.460628,0.463643,0.45495,0.471387,0.650404,0.661385,0.639534,0.547666,0.548828,0.546539,0.584145,0.591444,0.577263,0.738905,0.452841,0.452774,0.452906,0.491833,0.505939,0.478159,0.457009,0.454435,0.459529,0.528935,0.526138,0.53174,0.441434,0.424686,0.452976
SPN01_ZHH_0025_01,0.487708,0.491415,0.48398,0.623033,0.634709,0.612419,0.45194,0.631489,0.686131,0.587716,0.60334,0.571003,0.552147,0.500272,0.604419,0.520988,0.526687,0.515485,0.611112,0.602506,0.620328,0.477589,0.475757,0.479413,0.251386,0.552371,0.593375,0.570376,0.696647,0.680111,0.681986,0.678331,0.528199,0.54823,0.511506,0.513602,0.517833,0.509833,0.749965,0.747864,0.752045,0.612337,0.612249,0.612422,0.65484,0.648683,0.660646,0.75281,0.562294,0.57172,0.553228,0.506073,0.502427,0.509607,0.531467,0.527931,0.534929,0.557109,0.541816,0.572449,0.635106,0.595628,0.662313
SPN01_ZHH_0004_01,0.446506,0.44654,0.446472,0.573433,0.570021,0.576535,0.435418,0.642802,0.686484,0.58397,0.617019,0.548618,0.520771,0.523002,0.518523,0.46048,0.457487,0.46337,0.595518,0.589439,0.602029,0.45654,0.450701,0.462354,0.488539,0.534457,0.583072,0.555804,0.662995,0.617694,0.601734,0.632841,0.503147,0.499184,0.50645,0.455747,0.453495,0.457753,0.664234,0.655147,0.673229,0.568148,0.522805,0.612098,0.607151,0.568179,0.643896,0.765101,0.478667,0.472082,0.485,0.527223,0.520042,0.534185,0.501422,0.490177,0.512432,0.531497,0.511027,0.55203,0.500429,0.455508,0.531388
SPN01_MRC_0005_01,0.381433,0.382517,0.380342,0.550949,0.556688,0.545733,0.391204,0.5755,0.621538,0.495082,0.518085,0.470476,0.547223,0.541914,0.552573,0.432412,0.439401,0.425662,0.501712,0.507802,0.495142,0.429137,0.431157,0.427126,0.297098,0.476003,0.451208,0.465116,0.614407,0.584757,0.589303,0.580443,0.527308,0.513949,0.538441,0.454952,0.449493,0.459814,0.646206,0.643026,0.649353,0.54185,0.540727,0.542939,0.545972,0.556262,0.53627,0.690407,0.478173,0.499914,0.457261,0.465305,0.461209,0.469276,0.467787,0.473348,0.462343,0.501368,0.504179,0.498548,0.521454,0.501196,0.535415
SPN01_CMH_0015_01,0.441004,0.438821,0.4432,0.555373,0.574061,0.538387,0.431066,0.651253,0.693434,0.566676,0.598273,0.532877,0.550986,0.495667,0.606729,0.462893,0.465148,0.460716,0.551176,0.53231,0.571381,0.447555,0.458594,0.436561,0.516675,0.589102,0.619842,0.6026,0.665053,0.593056,0.596942,0.589368,0.477163,0.466584,0.485978,0.462454,0.454438,0.469594,0.640554,0.646019,0.635144,0.593641,0.568901,0.617621,0.574736,0.559914,0.588712,0.773871,0.487776,0.500801,0.475247,0.466967,0.490487,0.444166,0.510071,0.506302,0.513762,0.57548,0.571757,0.579215,0.550108,0.534634,0.560773
SPN01_MRC_0024_01,0.452386,0.438247,0.466606,0.54095,0.534584,0.546737,0.412251,0.630245,0.675085,0.565682,0.588587,0.54118,0.479032,0.484156,0.473869,0.451152,0.453427,0.448954,0.497411,0.520579,0.472598,0.419298,0.417429,0.421159,0.434369,0.501045,0.463568,0.484589,0.688191,0.563659,0.568983,0.558606,0.555718,0.472093,0.625406,0.438396,0.445066,0.432455,0.597207,0.592487,0.601879,0.575792,0.583871,0.567962,0.546774,0.574462,0.520669,0.72625,0.45636,0.47507,0.438363,0.491019,0.465444,0.515812,0.497205,0.505639,0.488947,0.518198,0.532462,0.503889,0.511354,0.451047,0.552917
SPN01_CMH_0011_01,0.452513,0.459489,0.445497,0.546361,0.545524,0.547121,0.443756,0.678409,0.708344,0.60169,0.623129,0.578757,0.537362,0.5442,0.530471,0.486589,0.491246,0.482092,0.575397,0.571766,0.579285,0.454406,0.45703,0.451792,0.528072,0.54195,0.570798,0.554617,0.687629,0.628602,0.633443,0.624007,0.537725,0.514676,0.556933,0.530279,0.53366,0.527267,0.701809,0.704211,0.699432,0.643918,0.643413,0.644407,0.624752,0.634443,0.615614,0.765885,0.50237,0.506746,0.498161,0.484685,0.470009,0.498911,0.531445,0.522647,0.540059,0.546221,0.543777,0.548673,0.611873,0.578315,0.635001
SPN01_MRC_0001_01,0.391871,0.388504,0.395257,0.500554,0.489707,0.510414,0.386474,0.612725,0.639851,0.530128,0.55122,0.507566,0.450024,0.471426,0.428459,0.422471,0.417793,0.426989,0.520404,0.514771,0.526437,0.390652,0.385109,0.396172,0.472133,0.497008,0.464636,0.482794,0.604174,0.545767,0.535996,0.55504,0.512462,0.535177,0.493532,0.419469,0.421029,0.41808,0.611384,0.598643,0.623996,0.523242,0.508529,0.537503,0.513548,0.505644,0.521,0.705407,0.45849,0.449925,0.466729,0.466202,0.452957,0.479042,0.442356,0.429828,0.454622,0.433714,0.427855,0.439592,0.542037,0.514192,0.561227
SPN01_CMH_0021_01,0.436731,0.425803,0.447723,0.556632,0.558979,0.554498,0.425223,0.63964,0.680207,0.58123,0.600836,0.560258,0.554895,0.544842,0.565026,0.466003,0.464647,0.467312,0.462113,0.473149,0.450139,0.432617,0.429273,0.435947,0.44213,0.566226,0.585515,0.574696,0.67984,0.60591,0.608556,0.603399,0.495913,0.509721,0.484406,0.472362,0.452612,0.489956,0.683661,0.687725,0.679638,0.601894,0.582704,0.620494,0.563399,0.561366,0.565316,0.736197,0.495683,0.515378,0.476739,0.512705,0.501469,0.523597,0.483482,0.47743,0.489407,0.545017,0.547995,0.542029,0.514186,0.467784,0.546165
SPN01_ZHH_0023_01,0.471255,0.466949,0.475586,0.550799,0.547391,0.553896,0.435352,0.653507,0.686582,0.590871,0.607262,0.573338,0.531959,0.501894,0.562254,0.467096,0.47015,0.464146,0.593835,0.597878,0.589505,0.442539,0.440104,0.444964,0.458886,0.522339,0.531452,0.52634,0.67135,0.613866,0.617416,0.610497,0.485627,0.482037,0.488619,0.453973,0.459108,0.449398,0.68853,0.688777,0.688285,0.575199,0.598076,0.553025,0.588936,0.599974,0.578529,0.744081,0.469199,0.479325,0.459459,0.472411,0.474553,0.470334,0.475441,0.479584,0.471384,0.533736,0.540485,0.526967,0.521156,0.489051,0.543282
SPN01_MRC_0007_01,0.420816,0.393295,0.448495,0.518031,0.518396,0.517699,0.384857,0.564367,0.625777,0.552674,0.587203,0.515738,0.49191,0.428818,0.555485,0.428004,0.420686,0.435071,0.496041,0.515328,0.475386,0.401149,0.398999,0.40329,0.317455,0.459472,0.423798,0.443808,0.620971,0.565021,0.574201,0.556309,0.506838,0.488272,0.522309,0.429153,0.428755,0.429507,0.63992,0.64686,0.63305,0.568096,0.560331,0.575622,0.523584,0.541097,0.507072,0.713906,0.435505,0.448228,0.423268,0.49911,0.475709,0.521795,0.463769,0.467659,0.459961,0.489442,0.484863,0.494035,0.475003,0.439912,0.499188
SPN01_ZHH_0032_01,0.445215,0.438799,0.451667,0.556116,0.560436,0.55219,0.43067,0.67933,0.706389,0.606987,0.616712,0.596585,0.575703,0.555708,0.595851,0.462091,0.460654,0.463479,0.588477,0.575177,0.602721,0.433029,0.434384,0.431679,0.496714,0.531733,0.528795,0.530443,0.678518,0.621907,0.626662,0.617393,0.473391,0.475931,0.471274,0.466359,0.468894,0.464101,0.696656,0.69939,0.69395,0.587853,0.564375,0.610609,0.599622,0.603795,0.595688,0.76566,0.478892,0.481735,0.476157,0.470478,0.472464,0.468553,0.483021,0.489612,0.476568,0.535974,0.522781,0.549207,0.574943,0.608857,0.551569
SPN01_CMH_0024_01,0.405232,0.400691,0.4098,0.545279,0.562509,0.529618,0.424474,0.652558,0.689625,0.595453,0.618088,0.571241,0.46718,0.460881,0.473527,0.453269,0.458995,0.447739,0.601036,0.592321,0.610369,0.461579,0.480097,0.443138,0.40403,0.498472,0.552111,0.522025,0.647006,0.61538,0.626028,0.605275,0.489386,0.49008,0.488807,0.478474,0.482782,0.474637,0.698929,0.703979,0.693929,0.584696,0.56165,0.607033,0.587008,0.594127,0.580295,0.774341,0.494336,0.514336,0.475099,0.493669,0.508746,0.479053,0.492338,0.488423,0.496172,0.535425,0.533876,0.536979,0.575854,0.560646,0.586335
